40.7128,-74.0060
34.0522,-118.2437
51.5074,-0.1278
48.8566,2.3522
52.5200,13.4050
35.6895,139.6917
55.7558,37.6176
41.9028,12.4964
22.3193,114.1694
-33.8688,151.2093
39.9042,116.4074
23.8103,90.4125
37.7749,-122.4194
55.6761,12.5683
59.3293,18.0686
25.2048,55.2708
37.9838,23.7275
28.6139,77.2090
19.4326,-99.1332
53.3498,-6.2603
-27.4698,153.0251
51.1657,10.4515
-26.2041,28.0473
40.4168,-3.7038
-36.8485,174.7633
52.3702,4.8952
48.1486,17.1077
31.2304,121.4737
-35.2809,149.1300
43.6532,-79.3832
37.5665,126.9780
50.0755,14.4378
32.7157,-117.1611
36.7783,-119.4179
52.2297,21.0122
36.2048,138.2529
38.9072,-77.0369
-41.2865,174.7762
-25.2744,133.7751
55.9533,-3.1883
55.7558,37.6176
44.7866,20.4489
34.6937,135.5023
33.8688,151.2093
42.3601,-71.0589
37.7749,-122.4194
40.7128,-74.0060
35.6895,139.6917
48.8566,2.3522
51.5074,-0.1278
34.0522,-118.2437
